C,Mb,M,R,Rp,kl,hl,jl,rhoc
0.0435956367419629,0.40592083390472,0.395072911005871,9.0622121966989,9.3797777944762,0.0744903922373866,1.03973985591835,-0.0032191381843436,0.000563737486095662
0.0444473390146917,0.412976102579137,0.401745358356611,9.0386818932809,9.35985544568525,0.0758661665101815,1.04079235818321,-0.00334180995556273,0.000568854282536151
0.0453067057648119,0.420096754105633,0.408473456660836,9.01573949739871,9.34053885789441,0.0772348973841321,1.04182942824789,-0.00346746688162464,0.000573971078976641
0.0461670301515226,0.427282615208867,0.41525649764179,8.99465476290974,9.32316135157525,0.0785397082139271,1.04274135583145,-0.00359343403714042,0.00057908787541713
0.0470401350775278,0.434532217035094,0.422093751700066,8.97305568966597,9.30523518538842,0.0798812602782679,1.04372281945408,-0.00372453901840347,0.00058420467185762
0.0479138761655817,0.441845859107285,0.428984468324568,8.9532407447495,9.28917486441682,0.0811567885467356,1.04457498041592,-0.00385580562724704,0.000589321468298109
0.0487924062068412,0.449223188575158,0.435927876739504,8.93433857087339,9.27406745741272,0.0824020950886583,1.04536711309949,-0.00398878951564274,0.000594438264738599
0.0496749839300751,0.456661934722532,0.442923186257919,8.91642334261042,9.25999281284593,0.0836110851363138,1.04608720724341,-0.00412356704632583,0.000599555061179088
0.0505570738678321,0.464163206478554,0.449969587060426,8.90023002986191,9.24772821557331,0.0847467696416607,1.04666277849284,-0.00425773159308499,0.000604671857619577
0.0523584631134127,0.479347135036215,0.464212330202551,8.86604194620895,9.22128326405842,0.0871233920841576,1.04801826397122,-0.00454169777550206,0.000614905450500556
0.0532565876322168,0.487029128159408,0.471406945368459,8.8516175430528,9.21087433794648,0.0881889649513558,1.04845383750365,-0.00468219694617534,0.000620022246941046
0.0550804030236279,0.502566666526261,0.485937200903892,8.82232471493426,9.18957589188395,0.090350646542381,1.04938501164824,-0.00497489831602712,0.000630255839822024
0.0559927479133016,0.51041989881247,0.493270164284253,8.80953663942383,9.18089068808379,0.0913390796702927,1.04966779787498,-0.00512115270622794,0.000635372636262514
0.056912380097239,0.518328137582059,0.50064641613928,8.79679281175535,9.17224965513461,0.0923252219867177,1.04994665201156,-0.0052703679694257,0.000640489432703003
0.0578390436897345,0.526289362742625,0.508064398653413,8.78410786628525,9.16366724209335,0.0933076977169974,1.0502193117092,-0.00542278237017953,0.000645606229143493
0.0587636588552076,0.534301495221,0.515522473773639,8.77281101648003,9.15655745958288,0.094214751685947,1.05034252908438,-0.00557415052347815,0.000650723025583982
0.0615613639198958,0.558630675889612,0.53811975866931,8.7411929236902,9.13763182874092,0.0967929797244881,1.05043597236343,-0.00603826416573546,0.000666073414905451
0.0634441778165164,0.575073760272779,0.553351820709012,8.72186920459955,9.12687074869627,0.0983910209144451,1.05026736104416,-0.00635588738126175,0.000676307007786429
0.0672318128697433,0.608423630676888,0.584144791689394,8.688517634072,9.11097146831552,0.101204654199381,1.04919647273951,-0.0070022243355732,0.000696774193548387
0.0691335179132324,0.625294817560205,0.599671423791826,8.67410543962853,9.10542686806051,0.102428857153289,1.04831447641481,-0.00733010899320204,0.000707007786429366
0.0710389883241671,0.642271875703458,0.615261015085337,8.66089213260978,9.1011540769417,0.10354209844398,1.04722548721178,-0.00766100789528029,0.000717241379310345
0.0719923958999679,0.650794050098536,0.623073693564641,8.65471534563721,9.099473533517,0.104056878996782,1.04660337558514,-0.00782733973535623,0.000722358175750834
0.0748508236329305,0.67646785961064,0.646557971181886,8.63795399704104,9.09631187475355,0.105425055230375,1.04440980944165,-0.00832791690304318,0.000737708565072303
0.0767610550776768,0.693662689844838,0.662242817328088,8.62732822859123,9.0947745506831,0.106243143654535,1.04278355699698,-0.00866641506181036,0.000747942157953281
0.0777018603589384,0.702282761601974,0.670092752820826,8.62389587231733,9.09604626916266,0.106517311811004,1.04169745161587,-0.00882815182581084,0.000753058954393771
0.0796131815164145,0.719568429860665,0.68580753136644,8.61424601182459,9.09555649043796,0.107198710127517,1.03982063750567,-0.00916945530657217,0.00076329254727475
0.0815194063094025,0.736916088597296,0.701543738718508,8.60584945940156,9.09643196857787,0.107750292075881,1.03769270084843,-0.00950893469129097,0.000773526140155729
0.0824745562428071,0.74561513430395,0.709420962652898,8.60169481317785,9.09691946285788,0.108003909082793,1.03658950119689,-0.00968002451229472,0.000778642936596218
0.083420252370962,0.75433120324369,0.717305093512126,8.59869244128318,9.09867159380422,0.108171973286456,1.03530970754698,-0.0098456815248675,0.000783759733036707
0.0872498210037024,0.789390183804652,0.748927569236917,8.58371467839615,9.10247816451658,0.108901810715733,1.03035193270046,-0.010535158903991,0.000804226918798665
0.0891619122671796,0.807054107080394,0.764805045014745,8.57771020795242,9.10605654878936,0.109096796699529,1.02753007306484,-0.0108768160286682,0.000814460511679644
0.0901193637562767,0.815924588125217,0.772764665959592,8.57490148343141,9.10807427468016,0.109163475748036,1.02605661686322,-0.0110478092333598,0.000819577308120134
0.0910830608101151,0.824822991646202,0.780740088239911,8.57173750306387,9.10971056268129,0.109240728908895,1.02460790722376,-0.011222039723595,0.000824694104560623
0.0920431348777835,0.833750833399475,0.788732823200371,8.56916514466467,9.11201304838448,0.109268389428078,1.02305398877171,-0.0113933926575602,0.000829810901001112
0.0939725029483708,0.85170450613896,0.80477666535263,8.56395903166249,9.11659137135601,0.109293135399767,1.01988338031604,-0.011739180991916,0.000840044493882091
0.0968835789740181,0.878908313969979,0.829014442541416,8.55681067236108,9.1243095141165,0.109204816698931,1.01485816897714,-0.0122608644592971,0.00085539488320356
