#density, energy density and pressure in cgs units for eos=ALF2.

#density, energy density and pressure in cgs units for eos=ALF2.
#i rho edens pres
2.190000000000000000e+02 3.525105187408212685e-09 5.854187091821794398e+06 3.217418150676378325e+23
2.200000000000000000e+02 3.608125261414612031e-09 5.992068174071301706e+06 3.338285864731750716e+23
2.210000000000000000e+02 3.693100548761230616e-09 6.133196828886082396e+06 3.463694177371734441e+23
2.220000000000000000e+02 3.780077096855877750e-09 6.277649552263483405e+06 3.593813663804640073e+23
2.230000000000000000e+02 3.869102037573067176e-09 6.425504642220358364e+06 3.728821307182830185e+23
2.240000000000000000e+02 3.960223612794449739e-09 6.576842241249790415e+06 3.868900739327983197e+23
2.250000000000000000e+02 4.053491200550551769e-09 6.731744379778037779e+06 4.014242490499309523e+23
2.260000000000000000e+02 4.148955341778488397e-09 6.890295020646104589e+06 4.165044248545184784e+23
2.270000000000000000e+02 4.246667767709536440e-09 7.052580104639081284e+06 4.321511127789779361e+23
2.280000000000000000e+02 4.346681427901915611e-09 7.218687597088800743e+06 4.483855948021181941e+23
2.290000000000000000e+02 4.449050518933794689e-09 7.388707535574818030e+06 4.652299523960198880e+23
2.300000000000000000e+02 4.553830513771809774e-09 7.562732078749175183e+06 4.827070965603168556e+23
2.310000000000000000e+02 4.661078191831592735e-09 7.740855556312419474e+06 5.008407989848212473e+23
2.320000000000000000e+02 4.770851669745898922e-09 7.923174520166868344e+06 5.196557243827678777e+23
2.330000000000000000e+02 4.883210432857608943e-09 8.109787796775832772e+06 5.391774640387494165e+23
2.340000000000000000e+02 4.998215367454417825e-09 8.300796540756879374e+06 5.594325706169388651e+23
2.350000000000000000e+02 5.115928793762436724e-09 8.496304289737759158e+06 5.804485942768960369e+23
2.360000000000000000e+02 5.236414499717213731e-09 8.696417020505869761e+06 6.022541201461927928e+23
2.370000000000000000e+02 5.359737775529709978e-09 8.901243206480450928e+06 6.248788072006913947e+23
2.380000000000000000e+02 5.485965449066602807e-09 9.110893876539768651e+06 6.483534286054714423e+23
2.390000000000000000e+02 5.615165922063842698e-09 9.325482675234859809e+06 6.727099135712350144e+23
2.400000000000000000e+02 5.747409207192790232e-09 9.545125924421999604e+06 6.979813907830639029e+23
2.410000000000000000e+02 5.882766965999735832e-09 9.769942686348555610e+06 7.242022334607315761e+23
2.420000000000000000e+02 6.021312547738501595e-09 1.000005482822508179e+07 7.514081061116993329e+23
2.430000000000000000e+02 6.163121029117876759e-09 1.023558708831985481e+07 7.796360130405221542e+23
2.440000000000000000e+02 6.308269254985165201e-09 1.047666714361134730e+07 8.089243486805954868e+23
2.450000000000000000e+02 6.456835879967558449e-09 1.072342567903479747e+07 8.393129498166338729e+23
2.460000000000000000e+02 6.608901411094681385e-09 1.097599645836179517e+07 8.708431497690723868e+23
2.470000000000000000e+02 6.764548251424460884e-09 1.123451639674979821e+07 9.035578346138957544e+23
2.480000000000000000e+02 6.923860744696761402e-09 1.149912563500232622e+07 9.375015015145270359e+23
2.490000000000000000e+02 7.086925221038668213e-09 1.176996761557961628e+07 9.727203192450557327e+23
2.500000000000000000e+02 7.253830043745825092e-09 1.204718916040045023e+07 1.009262190987044280e+24
2.510000000000000000e+02 7.424665657166068743e-09 1.233094055047887191e+07 1.047176819485520213e+24
2.520000000000000000e+02 7.599524635710206835e-09 1.262137560743723810e+07 1.086515774652541745e+24
2.530000000000000000e+02 7.778501734017445035e-09 1.291865177694145776e+07 1.127332563710484754e+24
2.540000000000000000e+02 7.961693938302271155e-09 1.322293021410305798e+07 1.169682703970387091e+24
2.550000000000000000e+02 8.149200518910192628e-09 1.353437587089387514e+07 1.213623798344236877e+24
2.560000000000000000e+02 8.341123084111853519e-09 1.385315758562247083e+07 1.259215613694150984e+24
2.570000000000000000e+02 8.537565635163428567e-09 1.417944817451886646e+07 1.306520162124725230e+24
2.580000000000000000e+02 8.738634622664165479e-09 1.451342452547907457e+07 1.355601785329366155e+24
2.590000000000000000e+02 8.944439004241224528e-09 1.485526769401969202e+07 1.406527242105239361e+24
2.600000000000000000e+02 9.155090303592606456e-09 1.520516300149388425e+07 1.459365799155751704e+24
2.610000000000000000e+02 9.370702670921287314e-09 1.556330013562405854e+07 1.514189325304352068e+24
2.620000000000000000e+02 9.591392944791955072e-09 1.592987325340353511e+07 1.571072389247455252e+24
2.630000000000000000e+02 9.817280715444990307e-09 1.630508108642502874e+07 1.630092360979737911e+24
2.640000000000000000e+02 1.004848838960159380e-08 1.668912704869250767e+07 1.691329517029650587e+24
2.650000000000000000e+02 1.028514125679462068e-08 1.708221934697405621e+07 1.754867149648144867e+24
