#for eos = ../eos_tables/eosSLy.lorene
#Grav_Mass (solar mass) Radius (km) Lambda (dimensionless) rhoc (gm/cm^3) Compactness (dimensionless) Baryon_Mass (solar mass)
1.3086  11.7967  484.2271  8.4290e+14  0.1638  1.5054
1.3150  11.7935  469.4213  8.4649e+14  0.1646  1.5140
1.3214  11.7903  455.1063  8.5010e+14  0.1655  1.5226
1.3278  11.7870  441.2572  8.5372e+14  0.1663  1.5312
1.3342  11.7837  427.8487  8.5735e+14  0.1672  1.5398
1.3406  11.7802  414.8726  8.6100e+14  0.1680  1.5485
1.3470  11.7768  402.3164  8.6467e+14  0.1689  1.5571
1.3533  11.7732  390.1722  8.6835e+14  0.1697  1.5658
1.3597  11.7696  378.4157  8.7205e+14  0.1706  1.5744
1.3661  11.7659  367.0419  8.7576e+14  0.1714  1.5831
1.3724  11.7623  356.0297  8.7949e+14  0.1723  1.5918
1.3788  11.7586  345.3739  8.8323e+14  0.1731  1.6004
1.3851  11.7547  335.0548  8.8700e+14  0.1740  1.6091
1.3915  11.7508  325.0679  8.9077e+14  0.1749  1.6178
1.3978  11.7468  315.3973  8.9457e+14  0.1757  1.6265
1.4041  11.7429  306.0377  8.9837e+14  0.1766  1.6352
1.4104  11.7388  296.9761  9.0220e+14  0.1774  1.6440
1.4167  11.7348  288.2056  9.0604e+14  0.1783  1.6527
1.4230  11.7308  279.9802  9.0990e+14  0.1791  1.6614
1.4292  11.7265  271.4504  9.1377e+14  0.1800  1.6701
1.4355  11.7224  263.7429  9.1766e+14  0.1808  1.6789
1.4417  11.7180  255.7463  9.2157e+14  0.1817  1.6876
1.4480  11.7135  248.2640  9.2550e+14  0.1825  1.6964
1.4542  11.7092  241.0496  9.2944e+14  0.1834  1.7051
1.4603  11.7047  234.0835  9.3339e+14  0.1842  1.7138
1.4665  11.7002  227.3414  9.3737e+14  0.1851  1.7224
1.4726  11.6956  220.8126  9.4136e+14  0.1859  1.7311
1.4787  11.6909  214.4932  9.4537e+14  0.1868  1.7398
1.4848  11.6862  208.3572  9.4939e+14  0.1876  1.7484
1.4909  11.6814  202.4155  9.5344e+14  0.1885  1.7571
1.4969  11.6766  196.6610  9.5750e+14  0.1893  1.7657
1.5030  11.6717  191.0824  9.6157e+14  0.1901  1.7744
1.5090  11.6668  185.6878  9.6567e+14  0.1910  1.7830
1.5150  11.6617  180.4566  9.6978e+14  0.1918  1.7916
1.5210  11.6567  175.3775  9.7391e+14  0.1927  1.8003
1.5269  11.6515  170.4529  9.7806e+14  0.1935  1.8089
1.5329  11.6463  165.6883  9.8222e+14  0.1943  1.8175
1.5388  11.6410  161.0650  9.8640e+14  0.1952  1.8261
1.5447  11.6355  156.5891  9.9060e+14  0.1960  1.8347
1.5505  11.6302  152.2362  9.9482e+14  0.1969  1.8433
1.5564  11.6247  148.0218  9.9906e+14  0.1977  1.8519
1.5622  11.6191  143.9361  1.0033e+15  0.1985  1.8604
1.5680  11.6136  139.9740  1.0076e+15  0.1994  1.8690
1.5738  11.6079  136.1252  1.0119e+15  0.2002  1.8775
1.5796  11.6022  132.3984  1.0162e+15  0.2010  1.8861
1.5853  11.5964  128.7787  1.0205e+15  0.2019  1.8946
1.5910  11.5904  125.2721  1.0249e+15  0.2027  1.9031
1.5967  11.5845  121.8638  1.0292e+15  0.2035  1.9116
1.6024  11.5784  118.5626  1.0336e+15  0.2044  1.9201
1.6081  11.5724  115.3513  1.0380e+15  0.2052  1.9286
1.6137  11.5663  112.2439  1.0424e+15  0.2060  1.9371
1.6193  11.5601  109.2811  1.0469e+15  0.2068  1.9455
1.6249  11.5539  106.3445  1.0513e+15  0.2077  1.9540
1.6304  11.5476  103.6178  1.0558e+15  0.2085  1.9624
1.6359  11.5412  100.7376  1.0603e+15  0.2093  1.9708
1.6414  11.5347  98.0511  1.0648e+15  0.2101  1.9792
1.6469  11.5282  95.4545  1.0693e+15  0.2110  1.9876
1.6524  11.5216  92.9211  1.0739e+15  0.2118  1.9960
1.6578  11.5149  90.4619  1.0785e+15  0.2126  2.0044
1.6632  11.5082  88.0854  1.0831e+15  0.2134  2.0127
1.6686  11.5014  85.7637  1.0877e+15  0.2142  2.0210
1.6739  11.4946  83.5204  1.0923e+15  0.2150  2.0293
1.6792  11.4877  81.3588  1.0970e+15  0.2158  2.0376
1.6844  11.4809  79.3374  1.1016e+15  0.2166  2.0458
1.6897  11.4738  77.2111  1.1063e+15  0.2175  2.0540
1.6948  11.4668  75.2300  1.1110e+15  0.2183  2.0621
1.7000  11.4596  73.3017  1.1158e+15  0.2191  2.0702
1.7051  11.4525  71.4376  1.1205e+15  0.2198  2.0784
1.7102  11.4453  69.6151  1.1253e+15  0.2206  2.0864
1.7153  11.4379  67.8516  1.1301e+15  0.2214  2.0945
1.7203  11.4305  66.1381  1.1349e+15  0.2222  2.1025
1.7253  11.4231  64.4718  1.1397e+15  0.2230  2.1105
1.7302  11.4156  62.8577  1.1446e+15  0.2238  2.1185
1.7351  11.4080  61.2816  1.1494e+15  0.2246  2.1265
1.7400  11.4004  59.7551  1.1543e+15  0.2254  2.1344
1.7449  11.3928  58.2672  1.1593e+15  0.2262  2.1423
1.7497  11.3849  56.8233  1.1642e+15  0.2269  2.1502
1.7545  11.3771  55.4203  1.1691e+15  0.2277  2.1580
1.7593  11.3692  54.0547  1.1741e+15  0.2285  2.1658
1.7640  11.3612  52.7307  1.1791e+15  0.2293  2.1736
1.7687  11.3532  51.4383  1.1841e+15  0.2300  2.1814
1.7733  11.3452  50.1879  1.1892e+15  0.2308  2.1891
1.7779  11.3370  48.9643  1.1942e+15  0.2316  2.1968
1.7825  11.3288  47.7816  1.1993e+15  0.2323  2.2045
1.7871  11.3205  46.6226  1.2044e+15  0.2331  2.2121
1.7916  11.3123  45.5033  1.2096e+15  0.2339  2.2197
1.7961  11.3039  44.4069  1.2147e+15  0.2346  2.2273
1.8005  11.2954  43.3472  1.2199e+15  0.2354  2.2349
1.8049  11.2870  42.3576  1.2251e+15  0.2361  2.2424
1.8093  11.2784  41.3065  1.2303e+15  0.2369  2.2499
1.8137  11.2697  40.3233  1.2355e+15  0.2376  2.2574
1.8180  11.2610  39.3734  1.2408e+15  0.2384  2.2648
1.8222  11.2523  38.4419  1.2461e+15  0.2391  2.2722
1.8265  11.2435  37.5424  1.2514e+15  0.2399  2.2796
1.8307  11.2346  36.6589  1.2567e+15  0.2406  2.2869
1.8349  11.2256  35.8057  1.2621e+15  0.2414  2.2942
1.8390  11.2165  34.9693  1.2674e+15  0.2421  2.3015
1.8431  11.2075  34.1601  1.2728e+15  0.2428  2.3087
1.8471  11.1984  33.3681  1.2783e+15  0.2436  2.3159
1.8512  11.1892  32.6003  1.2837e+15  0.2443  2.3231
1.8551  11.1801  31.8578  1.2892e+15  0.2450  2.3302
1.8590  11.1709  31.1340  1.2947e+15  0.2457  2.3372
1.8629  11.1617  30.4324  1.3002e+15  0.2465  2.3442
1.8668  11.1524  29.7450  1.3057e+15  0.2472  2.3512
1.8705  11.1430  29.0813  1.3113e+15  0.2479  2.3581
1.8743  11.1336  28.4293  1.3169e+15  0.2486  2.3650
1.8780  11.1242  27.7972  1.3225e+15  0.2493  2.3718
1.8817  11.1147  27.1811  1.3281e+15  0.2500  2.3786
1.8853  11.1051  26.5797  1.3337e+15  0.2507  2.3854
1.8889  11.0955  25.9973  1.3394e+15  0.2514  2.3921
1.8925  11.0859  25.4267  1.3451e+15  0.2521  2.3988
1.8960  11.0761  24.8730  1.3509e+15  0.2528  2.4054
1.8995  11.0664  24.3601  1.3566e+15  0.2535  2.4120
1.9029  11.0566  23.8037  1.3624e+15  0.2541  2.4185
1.9063  11.0467  23.2915  1.3682e+15  0.2548  2.4250
1.9097  11.0367  22.7906  1.3740e+15  0.2555  2.4315
1.9130  11.0267  22.3031  1.3799e+15  0.2562  2.4379
1.9163  11.0166  21.8275  1.3857e+15  0.2569  2.4443
1.9195  11.0066  21.3627  1.3916e+15  0.2575  2.4506
1.9227  10.9965  20.9118  1.3976e+15  0.2582  2.4569
1.9259  10.9863  20.4706  1.4035e+15  0.2588  2.4631
1.9290  10.9760  20.0406  1.4095e+15  0.2595  2.4693
1.9321  10.9657  19.6209  1.4155e+15  0.2602  2.4755
1.9351  10.9554  19.2122  1.4215e+15  0.2608  2.4816
1.9381  10.9451  18.8138  1.4276e+15  0.2615  2.4877
1.9411  10.9346  18.4236  1.4337e+15  0.2621  2.4937
1.9440  10.9241  18.0653  1.4398e+15  0.2628  2.4997
1.9469  10.9136  17.6749  1.4459e+15  0.2634  2.5057
1.9497  10.9030  17.3118  1.4520e+15  0.2641  2.5116
1.9525  10.8921  16.9791  1.4582e+15  0.2647  2.5174
1.9553  10.8814  16.6357  1.4644e+15  0.2653  2.5232
1.9580  10.8706  16.2788  1.4707e+15  0.2660  2.5290
1.9607  10.8599  15.9505  1.4769e+15  0.2666  2.5347
1.9634  10.8490  15.6315  1.4832e+15  0.2672  2.5404
1.9660  10.8382  15.3176  1.4895e+15  0.2679  2.5461
1.9686  10.8273  15.0123  1.4959e+15  0.2685  2.5517
1.9711  10.8163  14.7157  1.5022e+15  0.2691  2.5572
1.9736  10.8054  14.4227  1.5086e+15  0.2697  2.5627
1.9761  10.7945  14.1421  1.5151e+15  0.2703  2.5682
1.9785  10.7835  13.8690  1.5215e+15  0.2709  2.5735
1.9808  10.7726  13.5991  1.5280e+15  0.2715  2.5788
